name;category;scorpan;coverage;producer;postproc;rounded;note;reference
s2.geomedian.20210501.20210731.B7.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;Big NA wedge;
s2.geomedian.20210501.20210731.B8.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;Big NA wedge;
s2.geomedian.20210501.20210731.B8A.tif;sentinel_composite;O;agriculture;DHI;Anders Bjørn Møller;FALSE;Big NA wedge;
s2.geomedian.B11.tif;bare_soil;S;bare;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.B12.tif;bare_soil;S;bare;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.B2.tif;bare_soil;S;bare;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.B3.tif;bare_soil;S;bare;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.B4.tif;bare_soil;S;bare;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.B5.tif;bare_soil;S;bare;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.B6.tif;bare_soil;S;bare;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.B7.tif;bare_soil;S;bare;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.B8.tif;bare_soil;S;bare;DHI;Anders Bjørn Møller;FALSE;;
s2.geomedian.B8A.tif;bare_soil;S;bare;DHI;Anders Bjørn Møller;FALSE;;
SAGA_Wetness_Index.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;
Sin_Aspect_radians.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;
Slope.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;
Slope_Height.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;
Standardized_Height.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;
Tangential_Curvature.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;
Total_Curvature.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;
Valley_Depth.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;
vdtochn.tif;basic;R;DK;;Anders Bjørn Møller;TRUE;;
vdtochnGt0.tif;basic;R;DK;;Anders Bjørn Møller;TRUE;;
wetlands_10m.tif;basic;R;DK;;Anders Bjørn Møller;TRUE;;
WI_values_wetness.tif;basic;R;DK;Mette Balslev Greve;Anders Bjørn Møller;TRUE;;
Terodep10m.tif;WATEM;OR;agriculture;Sebastian Gutierez;Anders Bjørn Møller;FALSE;;
Terodep110m.tif;WATEM;OR;agriculture;Sebastian Gutierez;Anders Bjørn Møller;FALSE;;
Terodep150m.tif;WATEM;OR;agriculture;Sebastian Gutierez;Anders Bjørn Møller;FALSE;;
Terodep210m.tif;WATEM;OR;agriculture;Sebastian Gutierez;Anders Bjørn Møller;FALSE;;
Terodep30m.tif;WATEM;OR;agriculture;Sebastian Gutierez;Anders Bjørn Møller;FALSE;;
Terodep50m.tif;WATEM;OR;agriculture;Sebastian Gutierez;Anders Bjørn Møller;FALSE;;
Terodep70m.tif;WATEM;OR;agriculture;Sebastian Gutierez;Anders Bjørn Møller;FALSE;;
Area_Solar_RadiationSpecialDays4hour_ArcGISPro_1.tif;basic;CR;dkminusbornholm;;Anders Bjørn Møller;;;
Area_Solar_RadiationSpecialDays4hour_ArcGISPro_2.tif;basic;CR;dkminusbornholm;;Anders Bjørn Møller;;;
Area_Solar_RadiationSpecialDays4hour_ArcGISPro_3.tif;basic;CR;dkminusbornholm;;Anders Bjørn Møller;;;
bluespot.10m.mean.tif;basic;R;DK;SCALGO;Anders Bjørn Møller;TRUE;Nas filled with max value rounded up;
flooded.depth.10m.mean.tif;basic;R;DK;SCALGO;Anders Bjørn Møller;TRUE;Nas filled with zero;
GW_Summer_predict.tif;basic;SR;DK;Julian Koch;Anders Bjørn Møller;FALSE;Uses clay contents as a covariate;
GW_Winter_predict.tif;basic;SR;DK;Julian Koch;Anders Bjørn Møller;FALSE;;
rvb_BIOS.tif;basic;R;DK;Gasper Sechu;Anders Bjørn Møller;FALSE;Nas filled with zero;
rvb_FOT.tif;basic;R;DK;Gasper Sechu;Anders Bjørn Møller;FALSE;Nas filled with zero;
volume.10m.mean.tif;basic;R;DK;SCALGO;Anders Bjørn Møller;TRUE;Nas filled with max value rounded up;
